timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666874914950,909,HomePage,200,OK,setUp Thread Group 1-22,text,true,,2161,454,18,18,https://blazedemo.com/index.php,907,0,0
1666874915147,927,HomePage,200,OK,setUp Thread Group 1-5,text,true,,2292,454,17,17,https://blazedemo.com/index.php,926,0,0
1666874915186,1011,HomePage,200,OK,setUp Thread Group 1-10,text,true,,2225,454,16,16,https://blazedemo.com/index.php,1002,0,0
1666874914396,1993,HomePage,200,OK,setUp Thread Group 1-3,text,true,,2260,454,16,16,https://blazedemo.com/index.php,1992,0,0
1666874912847,3561,HomePage,200,OK,setUp Thread Group 1-20,text,true,,2190,454,16,16,https://blazedemo.com/index.php,3559,0,0
1666874907273,9166,HomePage,200,OK,setUp Thread Group 1-12,text,true,,2268,454,15,15,https://blazedemo.com/index.php,9132,0,6373
1666874914840,1600,HomePage,200,OK,setUp Thread Group 1-15,text,true,,2333,454,15,15,https://blazedemo.com/index.php,1600,0,0
1666874914900,1786,HomePage,200,OK,setUp Thread Group 1-21,text,true,,2291,454,14,14,https://blazedemo.com/index.php,1786,0,0
1666874915247,1710,HomePage,200,OK,setUp Thread Group 1-25,text,true,,2184,454,13,13,https://blazedemo.com/index.php,1710,0,0
1666874916198,800,HomePage,200,OK,setUp Thread Group 1-10,text,true,,2306,454,12,12,https://blazedemo.com/index.php,784,0,0
1666874914534,2536,HomePage,200,OK,setUp Thread Group 1-1,text,true,,2302,454,11,11,https://blazedemo.com/index.php,2522,0,0
1666874916440,833,HomePage,200,OK,setUp Thread Group 1-12,text,true,,2287,454,11,11,https://blazedemo.com/index.php,832,0,0
1666874914068,3294,HomePage,200,OK,setUp Thread Group 1-16,text,true,,2368,454,11,11,https://blazedemo.com/index.php,3276,0,0
1666874914130,3307,HomePage,200,OK,setUp Thread Group 1-24,text,true,,2293,454,11,11,https://blazedemo.com/index.php,3307,0,0
1666874914226,3300,HomePage,200,OK,setUp Thread Group 1-19,text,true,,2174,454,10,10,https://blazedemo.com/index.php,3292,0,0
1666874916390,1288,HomePage,200,OK,setUp Thread Group 1-3,text,true,,2337,454,10,10,https://blazedemo.com/index.php,1288,0,0
1666874914466,3339,HomePage,200,OK,setUp Thread Group 1-23,text,true,,2246,454,9,9,https://blazedemo.com/index.php,3339,0,0
1666874914634,3282,HomePage,200,OK,setUp Thread Group 1-8,text,true,,2200,454,9,9,https://blazedemo.com/index.php,3276,0,0
1666874917071,883,HomePage,200,OK,setUp Thread Group 1-1,text,true,,2406,454,8,8,https://blazedemo.com/index.php,883,0,0
1666874915088,2919,HomePage,200,OK,setUp Thread Group 1-13,text,true,,2360,454,7,7,https://blazedemo.com/index.php,2474,0,0
1666874917273,785,HomePage,200,OK,setUp Thread Group 1-12,text,true,,2385,454,6,6,https://blazedemo.com/index.php,783,0,0
1666874917363,762,HomePage,200,OK,setUp Thread Group 1-16,text,true,,2310,454,5,5,https://blazedemo.com/index.php,762,0,0
1666874917527,1054,HomePage,200,OK,setUp Thread Group 1-19,text,true,,2297,454,4,4,https://blazedemo.com/index.php,1021,0,0
1666874917806,921,HomePage,200,OK,setUp Thread Group 1-23,text,true,,2202,454,3,3,https://blazedemo.com/index.php,920,0,0
1666874907880,12459,HomePage,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: blazedemo.com:443 failed to respond,setUp Thread Group 1-30,text,false,,2094,0,2,2,https://blazedemo.com/index.php,0,0,12457
1666874907173,13174,HomePage,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: blazedemo.com:443 failed to respond,setUp Thread Group 1-9,text,false,,2094,0,2,2,https://blazedemo.com/index.php,0,0,13174
1666874920340,895,HomePage,200,OK,setUp Thread Group 1-30,text,true,,2204,454,2,2,https://blazedemo.com/index.php,894,0,284
1666874920348,899,HomePage,200,OK,setUp Thread Group 1-9,text,true,,2349,454,2,2,https://blazedemo.com/index.php,895,0,394
1666874921236,438,HomePage,200,OK,setUp Thread Group 1-30,text,true,,2362,454,2,2,https://blazedemo.com/index.php,433,0,0
1666874921248,437,HomePage,200,OK,setUp Thread Group 1-9,text,true,,2210,454,1,1,https://blazedemo.com/index.php,427,0,0
1666874921771,1072,ReserveFlight,200,OK,Reservation 1-1,text,true,,2303,640,30,30,https://blazedemo.com/reserve.php,1023,0,225
1666874921804,1410,ReserveFlight,200,OK,Reservation 1-2,text,true,,2437,640,30,30,https://blazedemo.com/reserve.php,1408,0,251
1666874921839,1779,ReserveFlight,200,OK,Reservation 1-3,text,true,,2421,640,30,30,https://blazedemo.com/reserve.php,1766,0,313
1666874921870,1758,ReserveFlight,200,OK,Reservation 1-4,text,true,,2250,640,30,30,https://blazedemo.com/reserve.php,1752,0,328
1666874921898,1776,ReserveFlight,200,OK,Reservation 1-5,text,true,,2273,640,30,30,https://blazedemo.com/reserve.php,1776,0,351
1666874921931,1776,ReserveFlight,200,OK,Reservation 1-6,text,true,,2392,640,30,30,https://blazedemo.com/reserve.php,1775,0,557
1666874921963,2207,ReserveFlight,200,OK,Reservation 1-7,text,true,,2488,640,30,30,https://blazedemo.com/reserve.php,2201,0,804
1666874921996,2580,ReserveFlight,200,OK,Reservation 1-8,text,true,,2366,640,30,30,https://blazedemo.com/reserve.php,2567,0,1217
1666874923215,1362,PurchaseTicket,200,OK,Reservation 1-2,text,true,,2512,689,30,30,https://blazedemo.com/purchase.php,1362,0,0
1666874922029,2639,ReserveFlight,200,OK,Reservation 1-9,text,true,,2417,640,30,30,https://blazedemo.com/reserve.php,2591,0,1296
1666874922063,3076,ReserveFlight,200,OK,Reservation 1-10,text,true,,2495,640,30,30,https://blazedemo.com/reserve.php,3076,0,1412
1666874922844,2419,PurchaseTicket,200,OK,Reservation 1-1,text,true,,2620,689,30,30,https://blazedemo.com/purchase.php,2418,0,0
1666874922097,3173,ReserveFlight,200,OK,Reservation 1-11,text,true,,2384,640,30,30,https://blazedemo.com/reserve.php,3172,0,1509
1666874922195,3078,ReserveFlight,200,OK,Reservation 1-14,text,true,,2401,640,30,30,https://blazedemo.com/reserve.php,3074,0,1493
1666874923618,1784,PurchaseTicket,200,OK,Reservation 1-3,text,true,,2554,689,30,30,https://blazedemo.com/purchase.php,1582,0,0
1666874922162,3240,ReserveFlight,200,OK,Reservation 1-13,text,true,,2309,640,30,30,https://blazedemo.com/reserve.php,3240,0,1534
1666874924170,1236,PurchaseTicket,200,OK,Reservation 1-7,text,true,,2614,689,30,30,https://blazedemo.com/purchase.php,1236,0,0
